T_a_in	RH_a_in	x_a_in	V_a_in	m_a_in	T_d_in	rho_d_in	xi_d_in	V_d_in	m_d_in	T_a_o_exp	RH_a_o_exp	x_a_o_exp	T_d_o_exp	rho_d_o_exp	xi_d_o_exp
295.29998779296875	53.1099967956543		0.014062107721964515		307.05858001708987	1296.9000000000005		4.749999999999998		301.22998046875	55.30999755859375				
295.29998779296875	57.22000122070313		0.013327232535910493		307.8877470596977	1296.9000000000005		4.749999999999999		301.22998046875	54.97521458501401				
297.6199951171875	54.9900016784668		0.011852454230898904		300.3673749651228	1296.9000000000005		4.749999999999998		299.7099914550781	52.95000076293945				
295.6199951171875	55.12999725341797		0.012824204326455108		298.7579345703125	1296.9		4.749999999999998		297.29998779296875	52.63999938964844				
295.8055944824219	52.922000427246104		0.01451665259467231		301.5614587402344	1296.9000000000005		4.749999999999999		298.54998779296875	48.29999923706055				
295.8599853515625	52.709999084472656		0.014170578784412809		301.11759757995605	1296.9		4.749999999999998		298.53280448913574	47.54999923706055				
297.7799987792969	53.86000061035156		0.011402925319141813		310.0480194091797	1296.9		4.749999999999998		304.1099853515625	46.349998474121094				
296.8599853515625	55.17411804199219		0.011423224779515484		310.27920891256895	1296.9		4.749999999999998		303.3899841308594	43.72999954223633				
293.04998779296875	51.92799949645996		0.01695926708645291		305.78099670410154	1296.9		4.749999999999997		299.30999755859375	52.9800033569336				
293.04998779296875	55.72999954223633		0.01662539905971951		306.46146706973803	1296.9		4.749999999999998		300.3500061035156	52.9800033569336				
293.04998779296875	58.582856314522886		0.016268931267753483		306.7013048444475	1296.9		4.749999999999998		300.3500061035156	53.10500308445522				
295.6600036621094	52.08000183105469		0.014201937993367513		298.69493611653644	1296.9000000000008		4.749999999999999		296.8999938964844	52.9900016784668				
296.3399963378906	52.8438474214994		0.012953354680640064		307.81515855055585	1296.9000000000005		4.749999999999999		301.7900085449219	53.099998474121094				
296.260009765625	54.88999938964844		0.01268817859225803		302.6284942626953	1296.9		4.749999999999997		300.3500061035156	50.80999755859375				
296.7799987792969	53.28455488416883		0.012828308835441685		310.14297756618924	1296.900000000001		4.749999999999999		302.5899963378906	48.65844531589086				
292.3699951171875	53.64999771118164		0.01827013874053955		300.34649047851565	1296.9000000000008		4.749999999999999		296.41998291015625	46.5				
293.7699890136719	52.66999816894531		0.01662207815382216		301.2339466236256	1296.9000000000005		4.749999999999999		297.2200012207031	45.849998474121094				
295.8599853515625	52.258711538007184		0.013620183117500769		309.9530629804057	1296.9000000000008		4.749999999999999		303.22998046875	43.90999984741211				
296.8999938964844	52.15827560424805		0.012532737264231248		310.51982590247843	1296.9		4.749999999999999		303.6851633006129	42.71068987353095				
297.29998779296875	52.28000259399414		0.012532857422135836		311.43396935096155	1296.9		4.749999999999998		303.6300048828125	39.84000015258789				
292.3699951171875	41.96000289916992		0.017593821189253803		291.4354287852412	1296.9000000000005		0.0		292.3699951171875	38.92000198364258				
293.2099914550781	41.96000289916992		0.017122027640249213		291.2820488424863	1296.9		0.0		292.3699951171875	38.92000198364258				
296.8999938964844	41.32999801635742		0.011372104750739204		313.1554482199929	1296.9000000000005		4.749999999999999		303.7900085449219	37.68000030517578				

