,9
T_a_in,296.45
x_a_in,0.0143
m_a_in,1.99
T_d_in,287.84999999999997
xi_d_in,0.285
m_d_in,2.8
T_a_o_exp,291.25
x_a_o_exp,0.0072
T_d_o_exp,293.45
xi_d_o_exp,0.2836
T_d_o_sim,20.1
T_a_o_sim,291.02
x_a_o_sim,7.21
Re_read,1068.494873046875
x_eq_read,0.0045351628214120865
Pr_read,0.7217954993247986
Sc_read,0.660901665687561
Nu_read,4.50698184967041
Sh_read,3.1551923751831055
T_a_o_sim_reg,291.2098388671875
x_a_o_sim_reg,0.0074292637960188595
T_d_o_sim_reg,293.0906677246094
xi_d_o_sim_reg,0.28362366557121277
