,6
T_a_in,294.84999999999997
x_a_in,0.0108
m_a_in,2.04
T_d_in,282.65
xi_d_in,0.25129999999999997
m_d_in,2.93
T_a_o_exp,287.25
x_a_o_exp,0.0057
T_d_o_exp,287.75
xi_d_o_exp,0.2504
T_d_o_sim,14.13
T_a_o_sim,286.41999999999996
x_a_o_sim,5.81
Re_read,1100.025146484375
x_eq_read,0.003929346799850464
Pr_read,0.7199758291244507
Sc_read,0.6645296216011047
Nu_read,3.4709792137145996
Sh_read,3.442241907119751
T_a_o_sim_reg,287.0594177246094
x_a_o_sim_reg,0.0058799261401674555
T_d_o_sim_reg,287.10260009765625
xi_d_o_sim_reg,0.25044530630111694
