,T_a_in,RH_a_in,x_a_in,m_a_in,T_d_in,xi_d_in,m_d_in,T_a_o_exp,RH_a_o_exp,x_a_o_exp,T_d_o_exp,epsilon_T,epsilon_w,epsilon_h,x_d_in_equ,RH_d_in_equ,Nu,Sh,T_a_o_sim_new,x_a_o_sim_new,T_d_o_sim_new,xi_d_o_sim_new,xi_d_out,Re,Pr,Sc
23,298.02,48.26,0.009457171971508029,0.01884771701880699,287.44,0.3183024030278953,0.1026704583333333,290.21,47.9,0.00577267773482495,286.23,0.738185255198489,0.7454849710603361,0.742919723453906,0.004514759475327911,44.63589771847788,8.071432200057615,7.099631953484206,289.8621826171875,0.0055630009016398385,288.6952209472656,0.3180771470069885,0.31808725498410007,665.0903715197827,0.7169414045426978,0.6162884264872308
24,300.51,55.58,0.012683234700939659,0.03628263762959907,292.2,0.3181864659218954,0.1026696666666667,294.81,54.06,0.008716095312794856,290.092,0.6859205776173269,0.6090656433928532,0.6360755642902676,0.00616975059429147,44.94943497787321,13.659603703704406,11.556246938374693,294.8092041015625,0.008002320757725436,294.52569580078125,0.31766754388809204,0.3177410072404622,1274.153029680901,0.7199549381887869,0.6168999252110197
25,298.02,46.07,0.009021787833346322,0.0326444338042316,284.16,0.3185718102858025,0.1026704583333334,287.98,50.83,0.005307947398485102,281.76599999999996,0.724386724386724,0.6867016522128563,0.7068836363266934,0.0036135578940508736,44.36935325594435,14.136913201632288,12.432667190507185,287.54193115234375,0.004802277446644518,286.7230529785156,0.3181487917900085,0.31819607524530225,1151.7013299802402,0.716493990775351,0.6162599371560362
26,301.31,50.7,0.01211188585842418,0.036150006626517565,290.94,0.3181742036675834,0.102668875,293.69,52.19,0.007844343819943563,288.468,0.7348119575699134,0.6642702351287016,0.6930280801819557,0.005687479325059358,44.877908724281674,14.940084676661805,12.537948491225764,293.79913330078125,0.007327222198339616,293.54107666015625,0.3176454603672028,0.3176968280154668,1266.5575073575342,0.7192658821526389,0.6169942078050927
27,299.87,42.59,0.009310861527740048,0.04574208561297773,290.34,0.3181710115000457,0.1026680833333333,292.89,52.75,0.007541970144532506,288.366,0.7324239244491078,0.4605197470195738,0.5971429893878375,0.005469785450860423,44.84314423567919,17.7352019143118,4.3256715827914975,293.11346435546875,0.008014089875233745,292.45220947265625,0.3178533017635345,0.3179204581868605,1606.3343401550935,0.7165588416531692,0.6165916135347294
28,301.71,43.11,0.01051434372466975,0.05028960846327648,292.12,0.3182521514521798,0.1026752083333334,297.38,40.59,0.007633259530335871,289.957,0.45151199165797656,0.657974732297802,0.5623205176711896,0.006135628170848317,44.92711474408306,9.061536793930037,14.341593444218034,297.27069091796875,0.007607141348820731,294.2972106933594,0.3178043365478516,0.31780368749618987,1758.7801328476987,0.717569605914577,0.6169665435811936
31,308.02,28.68,0.009994336655216502,0.03395472462661615,298.14,0.344078105710258,0.10483250000000001,299.94,37.7,0.008262087159374218,296.535,0.817813765182185,0.7268989560275613,0.7841361400330323,0.007611268855382431,38.50498063106772,17.181909468727724,12.586605221304245,300.0001220703125,0.008293576668295673,299.727294921875,0.3438905477523804,0.34388516309890405,1168.4979341645765,0.7162820324830165,0.6179346736010993
37,289.91,88.81,0.0105816062265688,0.04412327207308642,283.27,0.2768325089297027,0.10469063,286.61,60.61,0.00579577386356011,280.947,0.4969879518072274,0.7589449660981039,0.6816113450216573,0.004275704511964034,55.652000181704494,11.20405912055966,17.43742705957759,286.3547668457031,0.005676400677594562,285.6268005371094,0.2762673497200012,0.27627524702378425,1591.385499477903,0.7191621225078327,0.6149454670107908
40,290.31,52.2,0.0063365587606111174,0.018728295065587017,276.01,0.2779342729331796,0.10468896,285.55,39.03,0.003469110466005434,275.225,0.332867132867132,0.7575886871185494,0.5025553423111934,0.0025515916097526756,54.93227480605789,2.0728378215117846,6.604221665709541,285.364013671875,0.003432523255691857,276.7972412109375,0.2777908742427826,0.27779177376343683,673.4437789801071,0.7147497957858633,0.6146707046783862
41,291.66,47.59,0.006289244881936423,0.018106440368075218,282.41,0.2768955483958971,0.10468896,287.64,47.07,0.004804708075918613,281.9170000000001,0.43459459459459876,0.6568811651907996,0.5192923181976321,0.0040292671497592384,55.585244690746116,2.80715219355144,4.855542450619048,287.52349853515625,0.004772805422826371,282.90118408203125,0.27682340145111084,0.27682447163264184,648.7227211649416,0.7145205614618486,0.6149213649370348
42,297.19,42.33,0.007873232558685418,0.04352185290633925,284.42,0.32333522178388396,0.04990655,292.08,47.65,0.006466655004343842,281.459,0.40015661707126243,0.3270434949529482,0.36782652804694926,0.003572344217995625,43.1153365842142,7.097678365416485,4.5787578045812625,291.7980041503906,0.006348521722771363,287.5198669433594,0.3229105770587921,0.3229390950664443,1537.918140091163,0.7154207540394367,0.6160398541860984
43,298.77,35.94,0.007339638126907405,0.04401423529739908,283.13,0.3174859375692891,0.04966581666666667,289.96,48.01,0.005694187729125308,278.629,0.5632992327365736,0.4165773385875618,0.5077899311328001,0.0033897103575257913,44.59880168443043,12.511377517350967,9.379049906188976,289.701171875,0.005220002346170925,287.98614501953125,0.31689855456352234,0.3170236501902733,1548.5560243072844,0.7146740820200937,0.616279735848421
44,299.94,34.56,0.007565574332155169,0.05003396701311252,284.36,0.3113150427565831,0.049424699999999995,291.08,48.79,0.006216464756550634,279.533,0.5686777920410797,0.3606647463264708,0.4919423755992869,0.0038249548528580942,46.32958697930012,13.549802010459368,9.021707429165764,291.20648193359375,0.005823885010816186,289.3585510253906,0.3107745051383972,0.31089044714781844,1755.236469779964,0.7147591239135119,0.616495538465625
45,298.6,48.1,0.009761724613612216,0.03713896023325835,286.42,0.3031241969009019,0.049105,292.23,52.28,0.007169758011212175,282.725,0.5229885057471265,0.5028592181730491,0.5138344899241233,0.004607266847446605,48.66740297463315,9.248144871702893,7.199501506215638,292.0433349609375,0.007049813164412211,290.1537780761719,0.30251267552375793,0.3025311302595493,1308.7741925997777,0.7171813861393759,0.6164064283083509
46,300.03,41.49,0.009153851442437477,0.037787535933553114,285.09,0.2964439801927283,0.04883666666666666,290.81,52.64,0.006597864416134693,280.515,0.6171352074966514,0.5344323489112959,0.5816908693818333,0.004371231094867495,50.40535385463135,12.367566648532293,10.263216698874,290.69500732421875,0.006217864158391033,289.8137512207031,0.2957829535007477,0.2958588590613229,1326.34585828897,0.7163775922871556,0.6166087756056886
