,14
T_a_in,299.04999999999995
x_a_in,0.0159
m_a_in,1.99
T_d_in,292.34999999999997
xi_d_in,0.3215
m_d_in,2.86
T_a_o_exp,295.75
x_a_o_exp,0.0077
T_d_o_exp,298.95
xi_d_o_exp,0.3196
T_d_o_sim,24.97
T_a_o_sim,295.39
x_a_o_sim,7.68
Re_read,1061.1529541015625
x_eq_read,0.0046841297298669815
Pr_read,0.7223515510559082
Sc_read,0.655096173286438
Nu_read,4.922001361846924
Sh_read,3.194037675857544
T_a_o_sim_reg,295.4884033203125
x_a_o_sim_reg,0.007891823011450064
T_d_o_sim_reg,297.98297119140625
xi_d_o_sim_reg,0.31973275542259216
