,15
T_a_in,298.75
x_a_in,0.0143
m_a_in,1.93
T_d_in,291.54999999999995
xi_d_in,0.3312
m_d_in,2.88
T_a_o_exp,294.75
x_a_o_exp,0.0066
T_d_o_exp,297.65
xi_d_o_exp,0.3295
T_d_o_sim,23.72
T_a_o_sim,294.53
x_a_o_sim,6.84
Re_read,1029.9749755859375
x_eq_read,0.004113312344998121
Pr_read,0.721454918384552
Sc_read,0.6557604670524597
Nu_read,4.092091083526611
Sh_read,3.050217628479004
T_a_o_sim_reg,294.77874755859375
x_a_o_sim_reg,0.0069816472587168705
T_d_o_sim_reg,296.740478515625
xi_d_o_sim_reg,0.32959580421447754
