,3
T_a_in,300.65
x_a_in,0.0181
m_a_in,1.92
T_d_in,290.84999999999997
xi_d_in,0.255
m_d_in,2.65
T_a_o_exp,295.04999999999995
x_a_o_exp,0.0099
T_d_o_exp,297.45
xi_d_o_exp,0.2535
T_d_o_sim,23.69
T_a_o_sim,294.59
x_a_o_sim,10.08
Re_read,1019.514892578125
x_eq_read,0.006663196254521608
Pr_read,0.7234138250350952
Sc_read,0.6515778303146362
Nu_read,3.9944067001342773
Sh_read,3.1609437465667725
T_a_o_sim_reg,294.8349304199219
x_a_o_sim_reg,0.010251594524257626
T_d_o_sim_reg,296.7166748046875
xi_d_o_sim_reg,0.2535649836063385
