,2
T_a_in,301.75
x_a_in,0.0202
m_a_in,1.87
T_d_in,291.34999999999997
xi_d_in,0.24
m_d_in,2.63
T_a_o_exp,296.04999999999995
x_a_o_exp,0.0116
T_d_o_exp,298.34999999999997
xi_d_o_exp,0.2385
T_d_o_sim,24.45
T_a_o_sim,295.40999999999997
x_a_o_sim,11.41
Re_read,990.098876953125
x_eq_read,0.007463173475116491
Pr_read,0.7244871854782104
Sc_read,0.6491824388504028
Nu_read,3.481515407562256
Sh_read,3.0244929790496826
T_a_o_sim_reg,295.8106384277344
x_a_o_sim_reg,0.011588247415323575
T_d_o_sim_reg,297.45880126953125
xi_d_o_sim_reg,0.2385461926460266
