,13
T_a_in,298.34999999999997
x_a_in,0.0143
m_a_in,1.95
T_d_in,290.95
xi_d_in,0.3182
m_d_in,2.85
T_a_o_exp,294.25
x_a_o_exp,0.006900000000000001
T_d_o_exp,297.04999999999995
xi_d_o_exp,0.3166
T_d_o_sim,23.08
T_a_o_sim,293.94
x_a_o_sim,7.02
Re_read,1041.75048828125
x_eq_read,0.0043799988925457
Pr_read,0.7215127944946289
Sc_read,0.6566483974456787
Nu_read,4.3098931312561035
Sh_read,3.1690797805786133
T_a_o_sim_reg,294.1335144042969
x_a_o_sim_reg,0.0071608459047652175
T_d_o_sim_reg,296.11700439453125
xi_d_o_sim_reg,0.3166641294956207
