,11
T_a_in,297.34999999999997
x_a_in,0.016
m_a_in,1.98
T_d_in,290.84999999999997
xi_d_in,0.3007
m_d_in,2.85
T_a_o_exp,294.04999999999995
x_a_o_exp,0.0077
T_d_o_exp,297.04999999999995
xi_d_o_exp,0.299
T_d_o_sim,23.22
T_a_o_sim,293.79999999999995
x_a_o_sim,7.88
Re_read,1060.58544921875
x_eq_read,0.004960592370480299
Pr_read,0.722658634185791
Sc_read,0.6588795781135559
Nu_read,4.830231666564941
Sh_read,3.3117544651031494
T_a_o_sim_reg,293.8904113769531
x_a_o_sim_reg,0.008048954422795355
T_d_o_sim_reg,296.26934814453125
xi_d_o_sim_reg,0.2990608811378479
