,1
T_a_in,298.75
x_a_in,0.0162
m_a_in,1.85
T_d_in,288.04999999999995
xi_d_in,0.23
m_d_in,2.61
T_a_o_exp,292.34999999999997
x_a_o_exp,0.0091
T_d_o_exp,294.45
xi_d_o_exp,0.2288
T_d_o_sim,20.19
T_a_o_sim,291.89
x_a_o_sim,9.29
Re_read,987.28173828125
x_eq_read,0.006324042100459337
Pr_read,0.722570538520813
Sc_read,0.6557604670524597
Nu_read,3.1587464809417725
Sh_read,3.1070668697357178
T_a_o_sim_reg,292.4060363769531
x_a_o_sim_reg,0.009351464290612297
T_d_o_sim_reg,293.2110290527344
xi_d_o_sim_reg,0.2288927584886551
