,4
T_a_in,303.15
x_a_in,0.0177
m_a_in,1.89
T_d_in,292.04999999999995
xi_d_in,0.26
m_d_in,2.66
T_a_o_exp,296.65
x_a_o_exp,0.009699999999999999
T_d_o_exp,298.95
xi_d_o_exp,0.2585
T_d_o_sim,24.74
T_a_o_sim,296.09999999999997
x_a_o_sim,10.22
Re_read,997.0253295898438
x_eq_read,0.006998526398092508
Pr_read,0.7228465676307678
Sc_read,0.6461610794067383
Nu_read,3.505810499191284
Sh_read,3.2917168140411377
T_a_o_sim_reg,296.474609375
x_a_o_sim_reg,0.010270065079486619
T_d_o_sim_reg,297.81170654296875
xi_d_o_sim_reg,0.25863948464393616
