,5
T_a_in,300.75
x_a_in,0.016399999999999998
m_a_in,1.92
T_d_in,290.45
xi_d_in,0.27
m_d_in,2.67
T_a_o_exp,294.75
x_a_o_exp,0.0087
T_d_o_exp,296.84999999999997
xi_d_o_exp,0.2685
T_d_o_sim,23.1
T_a_o_sim,294.19
x_a_o_sim,9.03
Re_read,1019.2467041015625
x_eq_read,0.005938983988016844
Pr_read,0.7224062085151672
Sc_read,0.6513592600822449
Nu_read,3.85837984085083
Sh_read,3.109206438064575
T_a_o_sim_reg,294.49993896484375
x_a_o_sim_reg,0.009183840077360532
T_d_o_sim_reg,296.1147155761719
xi_d_o_sim_reg,0.26861274242401123
